rmsd	tmscore
1.78	0.76121
1.99	0.73709
2.07	0.74326
2.47	0.69659
2.01	0.7317
2.21	0.72918
1.98	0.74339
2.05	0.7503
1.94	0.73821
1.96	0.74845
1.81	0.75736
1.84	0.76118
2.15	0.73158
1.79	0.76202
1.83	0.75564
1.87	0.75124
1.92	0.74619
1.92	0.74436
1.89	0.74531
2.34	0.72715
1.92	0.74258
2.36	0.71162
2.01	0.74936
1.93	0.75105
2.01	0.73151
2.1	0.74443
2.12	0.7267
2.11	0.72855
1.91	0.74406
1.9	0.74191
2.27	0.71443
2.02	0.75525
2.01	0.72841
1.94	0.73581
1.86	0.74906
2.03	0.73797
1.87	0.74857
1.72	0.76281
1.79	0.75782
1.74	0.76241
1.91	0.7443
2.01	0.74543
2.18	0.71636
1.94	0.74739
1.99	0.75672
1.84	0.75508
1.85	0.75311
2.12	0.74577
2.27	0.74444
1.96	0.74241
1.8	0.75852
1.78	0.76204
2.02	0.75848
2.11	0.71493
2.03	0.75733
1.93	0.75194
2.07	0.72627
1.76	0.76169
2.06	0.738
2.29	0.733
2.15	0.74435
2.03	0.74892
2.13	0.73033
2.39	0.72862
2.56	0.6964
2.12	0.72824
2.16	0.71942
2.26	0.72192
2.0	0.74611
2.31	0.71841
1.95	0.74606
1.94	0.74892
2.15	0.73641
2.17	0.732
2.02	0.75028
1.97	0.75063
2.09	0.73537
2.0	0.74421
2.22	0.7212
2.14	0.73436
2.41	0.69909
2.1	0.73864
2.57	0.71507
1.97	0.74514
2.07	0.73004
2.31	0.70722
2.15	0.7227
2.23	0.70987
2.12	0.71994
2.14	0.72776
2.31	0.72316
2.21	0.71369
1.96	0.75006
2.17	0.73459
2.04	0.73157
2.1	0.73553
2.33	0.71903
2.06	0.73694
1.98	0.75206
1.96	0.75201
2.02	0.74662
2.05	0.74208
2.06	0.74485
2.45	0.6998
2.12	0.73762
1.92	0.75058
2.2	0.73168
2.28	0.72813
2.13	0.74247
2.38	0.73275
2.02	0.72231
2.0	0.73922
2.12	0.73205
2.37	0.74298
2.29	0.70793
2.16	0.74059
1.95	0.74572
2.22	0.71584
1.99	0.7446
1.89	0.75728
1.95	0.74841
2.0	0.74318
2.02	0.73826
2.05	0.75945
2.1	0.75621
2.25	0.72933
2.2	0.73315
2.04	0.74662
2.09	0.75588
2.04	0.73085
1.97	0.74396
1.92	0.75997
1.99	0.74044
2.28	0.73383
2.08	0.74546
1.94	0.75116
1.8	0.76918
1.97	0.73844
1.98	0.73511
1.87	0.76035
1.94	0.7452
2.1	0.75339
1.87	0.7579
2.16	0.74162
2.08	0.72158
1.86	0.75314
1.91	0.75136
2.1	0.75647
2.07	0.74189
1.8	0.75876
2.0	0.75793
2.03	0.73433
2.43	0.69988
1.97	0.74104
2.16	0.71337
1.96	0.75691
1.8	0.76517
2.17	0.74915
1.89	0.75777
2.04	0.7308
1.87	0.75542
1.85	0.7548
2.11	0.72535
2.15	0.73297
2.2	0.74204
2.11	0.75944
2.05	0.75718
1.89	0.74378
1.84	0.76196
2.0	0.74921
2.1	0.734
1.77	0.74764
1.74	0.76365
1.92	0.75189
2.16	0.75239
2.01	0.74056
1.99	0.74701
1.83	0.77326
2.0	0.74991
1.71	0.77421
2.18	0.73623
2.14	0.73872
2.1	0.73786
2.1	0.73912
2.02	0.72724
2.38	0.73134
1.9	0.70612
2.21	0.73067
2.27	0.71251
2.1	0.72909
2.07	0.73447
2.22	0.72126
2.0	0.74418
2.07	0.74166
2.0	0.73618
2.43	0.72308
2.07	0.74572
1.95	0.74557
1.95	0.73517
2.14	0.73171
2.19	0.72193
2.09	0.73987
2.49	0.71254
2.1	0.73163
2.38	0.71854
1.96	0.73208
2.01	0.74025
2.29	0.7146
2.11	0.72683
2.27	0.7016
2.14	0.71269
2.22	0.72379
2.33	0.70695
2.22	0.71177
2.05	0.73776
2.12	0.73005
